Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/TGFX16/TurboGrafx-16 Manuals/Aero Blasters.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfAero%20Blasters.pdf,1081545,93200e3d5cdb0f37eccf1e6142c07ff7,,,Aero Blasters.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Air Zonk.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfAir%20Zonk.pdf,1524477,ca30b3b228d8b7c9ce71172423ab69c8,,,Air Zonk.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Alien Crush.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfAlien%20Crush.pdf,1201283,7e166ce2adabb93e2c0cd973f413e249,,,Alien Crush.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Andre Panza Kick Boxing.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfAndre%20Panza%20Kick%20Boxing.pdf,1203203,4910f99891efba0b93e2b3acb7fffbda,,,Andre Panza Kick Boxing.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Battle Royale.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfBattle%20Royale.pdf,868700,6ac778f99ded6471caeead5682499b94,,,Battle Royale.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Blazing Lazers.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfBlazing%20Lazers.pdf,1080257,9b4d232c81a8ec40064d58417a2bb39e,,,Blazing Lazers.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Bloody Wolf.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfBloody%20Wolf.pdf,1142280,7403251d3ae5560ec0f48751d4e495e8,,,Bloody Wolf.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Bomberman .pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfBomberman%20.pdf,1279956,ca8a504a7550ec597b28cf82aa0535b6,,,Bomberman .pdf
docs/TGFX16/TurboGrafx-16 Manuals/Bomberman _93.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfBomberman%20_93.pdf,1678171,72d1fe2142eb7eb8fa49f661bf4845f6,,,Bomberman _93.pdf
docs/TGFX16/TurboGrafx-16 Manuals/Bonk 3 - Bonk_s Big Adventure.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-16.zip/1989_NEC%20TurboGrafx-16%2FAero%20Blasters.pdfBonk%203%20-%20Bonk_s%20Big%20Adventure.pdf,1940819,752e2684d9e908099e9aeeafb275a7bf,,,Bonk 3 - Bonk_s Big Adventure.pdf
